able yapabilen
about hakkında
above yukarıdaki
accessible erişilebilir
according_to egöre
achievement başarı
across karşısında
admit kabul_etmek
adult yetişkin
affect etkilemek
after sonra
afternoon öğleden_sonra
afterwards ondan_sonra
again tekrar
against karşı
age yaş
agent ajan
ago önce
agree anlaşmak
ahead ileride
air hava
all her_şey
all_right peki
almost neredeyse
alone tek_başına
along süresince
already zaten
also ayrıca
although rağmen
altogether büsbütün
always her_zaman
among arasında
and ve
any hiç
anybody hiç_kimse
anyone herhangi_biri
anything hiçbir_şey
anyway her_halükarda
anywhere herhangi_bir_yer
appear görünmek
apple elma
apply başvurmak
approach yaklaşım
april nisan
area alan
argue tartışmak
arm kol
around etrafta
arrive varmak
art sanat
article makale
artist sanatçı
as gibi
ask sormak
assume varsaymak
attack saldırmak
attention dikkat
attorney avukat
audience seyirci
august ağustos
author yazar
authority otorite
avoid kaçınmak
away uzakta
baby bebek
back geri
bad kötü
bag çanta
ball top
bank banka
bar bar
base temel
be olmak
beat yenmek
beautiful güzel
because çünkü
become olmak
bed yatak
before önce
begin başlamak
behavior davranış
behind arkada
believe inanmak
below aşağı
benefit fayda
beside yanında
besides ayrıca
best en_iyi
better daha_iyi
between arasında
beyond ötesinde
big büyük
bill fatura
billion milyar
black siyah
blood kan
blue mavi
board tahta
body vücut
book kitap
born doğmuş
both ikisi_de
box kutu
boy erkek_çocuk
bread ekmek
break kırmak
breakfast kahvaltı
bring getirmek
brother erkek_kardeş
budget bütçe
build inşa_etmek
building bina
bus otobüs
business iş
busy meşgul
but ama
buy satın_almak
by yoluyla
cab taksi
call aramak
camera kamera
campaign kampanya
can yapabilmek
cancer kanser
candidate aday
capital başkent
car araba
card kart
care bakım
career kariyer
carry taşımak
catch yakalamak
cause sebep
cell hücre
center merkez
century yüzyıl
certainly kesinlikle
chair sandalye
challenge meydan_okuma
chance şans
character karakter
charge şarj
cheap ucuz
child çocuk
choose seçmek
church kilise
cigarette sigara
cinema sinema
citizen vatandaş
city şehir
civil sivil
class sınıf
clear açık
clearly açıkça
coach koç
coffee kahve
cold soğuk
colour renk
come gelmek
common yaygın
company şirket
compare karşılaştırmak
computer bilgisayar
concern ilgilendirmek
condition şart
conference konferans
consider dikkate_almak
crazy çılgın
dad baba
dangerous tehlikeli
dark karanlık
date tarih
daughter kız
day gün
december aralık
delicious lezzetli
different farklı
difficult zor
dinner akşam_yemeği
dirty kirli
doctor doktor
double çift
down aşağı
each her
early erken
easy kolay
else başka
empty boş
enough yeterli
even bile
evening akşam
ever hiç
every her
exactly tam
except hariç
expensive pahalı
extra ekstra
family aile
far uzak
fast hızlı
father baba
february şubat
few az
file dosya
film film
final son
fine iyi
first ilk
floor zemin
food yiyecek
for için
foreign yabancı
forward ileri
friday cuma
friend arkadaş
full dolu
fun eğlence
funny komik
game oyun
gas gaz
general genel
gentleman centilmen
get_permission izin_almak
girl kız
god tanrı
good iyi
government hükümet
great harika
green yeşil
grey gri
half yarım
hand el
handbag çanta
happy mutlu
hard zor
healthy sağlıklı
heart kalp
help yardım
here burada
high yüksek
holiday tatil
home ev
hospital hastane
hot sıcak
hotel otel
hour saat
house ev
how nasıl
however ama
hungry aç
husband koca
idea fikir
if eğer
important önemli
in içinde
incredible inanılmaz
information bilgi
inside iç
instead_of yerine
interesting ilginç
international uluslararası
into içine
it o
january ocak
job iş
joke şaka
july temmuz
june haziran
just sadece
key anahtar
kind çeşit
kitchen mutfak
lady hanım
large büyük
late geç
least en_az
less daha_az
life hayat
light ışık
list liste
little az
long uzun
lot çok
luck şans
lunch öğle_yemeği
mail posta
main ana
man adam
manager yönetici
many çok
march mart
market pazar
may mayıs
me beni
meat et
meet buluşmak
meeting toplantı
men adamlar
message mesaj
metre metre
mine benimki
minute dakika
mistake hata
monday pazartesi
money para
month ay
more daha_fazla
morning sabah
most en_çok
mother anne
much çok
music müzik
must meli
my benim
name isim
necessary gerekli
never asla
new yeni
news haber
newspaper gazete
next sonraki
nice hoş
night gece
no hayır
nobody hiç_kimse
normal normal
not değil
nothing hiçbir_şey
november kasım
now şimdi
nowhere hiçbir_yer
number sayı
october ekim
off kapalı
office ofis
official_meeting resmi_toplantı
often sık_sık
on üstünde
once bir_kere
one bir
only sadece
opposite karşısı
other diğer
our bizim
out dışarı
outside dışarıda
over üzerinde
paper kağıt
part parça
party parti
past geçmiş
pen kalem
people insanlar
perfect mükemmel
person kişi
phone telefon
picture resim
pink pembe
place yer
plus artı
police polis
poor fakir
possible mümkün
power güç
problem sorun
programme program
quarter çeyrek
quick hızlı
ready hazır
really gerçekten
red kırmızı
relationship ilişki
restaurant restoran
right sağ
room oda
rude kaba
rule kural
sad üzgün
salt tuz
same aynı
sandwich sandviç
saturday cumartesi
school okul
sea deniz
september eylül
serious ciddi
several birkaç
shoe ayakkabı
short kısa
shower duş
since beri
sir beyefendi
sister kız_kardeş
slow yavaş
small küçük
so yani
some bazı
somebody biri
someone biri
sometimes bazen
somewhere bir_yer
son oğul
sorry üzgün
spoon kaşık
street cadde
stupid aptal
such böyle
sugar şeker
summer yaz
sun güneş
sunday pazar
super süper
sure emin
surname soyadı
sweet tatlı
taxi taksi
tea çay
teacher öğretmen
team takım
telephone telefon
television televizyon
than göre
that şu
their onların
them onları
then sonra
there orada
these bunlar
they onlar
thing şey
this bu
those şunlar
thursday perşembe
ticket bilet
time zaman
to e
today bugün
together beraber
tomorrow yarın
tonight bu_gece
too çok
top üst
total toplam
town kasaba
traffic trafik
tuesday salı
twice iki_kere
under altında
